"Date","Price","Open","High","Low","Vol","Change"
"Jun 25, 2019","43,880.0","42,325.0","43,944.0","42,320.0","0.66K","3.39%"
"Jun 24, 2019","42,440.0","40,748.0","42,699.3","40,275.0","0.55K","4.15%"
"Jun 23, 2019","40,750.0","40,123.3","41,500.0","40,000.0","0.22K","1.56%"
"Jun 22, 2019","40,123.3","39,499.9","42,950.0","38,000.0","0.95K","1.58%"
"Jun 21, 2019","39,500.0","36,686.0","39,500.0","36,500.0","0.61K","7.67%"
"Jun 20, 2019","36,686.0","35,800.0","36,799.0","35,600.0","0.21K","2.47%"
"Jun 19, 2019","35,800.1","35,228.0","35,850.0","35,200.0","0.31K","1.62%"
"Jun 18, 2019","35,228.0","35,878.6","35,995.0","34,902.0","0.42K","-1.81%"
"Jun 17, 2019","35,878.6","34,295.0","36,000.0","34,018.4","0.69K","4.65%"
"Jun 16, 2019","34,285.0","33,950.0","35,399.0","33,400.0","0.28K","0.99%"
"Jun 15, 2019","33,950.0","33,729.0","34,100.0","33,450.0","0.16K","0.66%"
"Jun 14, 2019","33,729.0","32,220.0","33,990.0","31,900.0","0.44K","4.65%"
"Jun 13, 2019","32,230.0","31,802.0","32,897.0","31,454.0","0.51K","1.35%"
"Jun 12, 2019","31,802.0","31,148.0","31,998.0","30,730.0","0.40K","2.10%"
"Jun 11, 2019","31,148.0","31,314.1","31,539.4","30,300.0","0.36K","-0.53%"
"Jun 10, 2019","31,314.1","30,306.2","31,600.0","30,286.6","0.32K","3.33%"
"Jun 09, 2019","30,306.2","31,498.5","31,498.5","30,003.0","0.12K","-3.79%"
"Jun 08, 2019","31,498.5","31,682.5","31,890.1","31,000.0","0.11K","-0.58%"
"Jun 07, 2019","31,682.5","30,551.0","31,999.0","30,399.0","0.39K","3.70%"
"Jun 06, 2019","30,551.0","31,185.0","31,197.5","29,500.0","0.38K","-2.03%"
"Jun 05, 2019","31,185.0","30,060.3","31,989.0","30,000.0","0.60K","3.74%"
"Jun 04, 2019","30,060.3","32,945.0","32,950.0","29,501.0","0.92K","-8.76%"
"Jun 03, 2019","32,945.0","34,647.0","34,772.0","32,101.0","0.51K","-4.91%"
"Jun 02, 2019","34,647.0","34,489.1","34,850.0","34,201.0","0.07K","0.46%"
"Jun 01, 2019","34,489.1","34,742.5","34,742.5","34,200.0","0.07K","-0.73%"
"May 31, 2019","34,742.5","33,962.0","34,788.0","33,200.0","0.46K","2.30%"
"May 30, 2019","33,962.0","34,980.0","35,800.0","32,803.0","0.68K","-2.91%"
"May 29, 2019","34,980.0","35,480.1","35,600.0","34,900.0","0.39K","-1.74%"
"May 28, 2019","35,600.0","35,533.0","35,700.0","35,000.0","0.38K","0.19%"
"May 27, 2019","35,533.0","33,755.0","35,950.0","33,755.0","0.61K","5.27%"
"May 26, 2019","33,755.0","32,598.0","34,000.0","32,200.0","0.35K","3.86%"
"May 25, 2019","32,499.0","32,450.0","32,665.0","32,320.0","0.07K","0.54%"
"May 24, 2019","32,323.0","32,099.0","32,849.0","31,750.0","0.36K","0.70%"
"May 23, 2019","32,099.0","31,721.0","32,399.0","31,050.0","0.34K","1.19%"
"May 22, 2019","31,721.0","32,770.0","32,900.0","31,500.0","0.46K","-3.20%"
"May 21, 2019","32,770.0","32,690.0","32,999.0","32,250.0","0.36K","0.24%"
