codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A045,30/01/2019,02,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A045,30/01/2019,21,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A045,30/01/2019,05,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A045,30/01/2019,17,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A045,30/01/2019,08,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A045,30/01/2019,04,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A045,30/01/2019,09,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A045,30/01/2019,07,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A045,30/01/2019,06,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A045,30/01/2019,12,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A045,30/01/2019,14,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A045,30/01/2019,11,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A045,30/01/2019,10,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A045,30/01/2019,13,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A045,30/01/2019,01,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A045,30/01/2019,16,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A045,30/01/2019,15,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A045,30/01/2019,23,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A045,30/01/2019,00,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A045,30/01/2019,20,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A045,30/01/2019,19,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A045,30/01/2019,18,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A045,30/01/2019,22,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A045,30/01/2019,03,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A045,31/01/2019,19,29.9,32.3,29.9,29,29,21,9.9,10.7,6.6,899.0,899.6,899.0,2.9,96,8.6,2467.,0.0
A045,31/01/2019,20,30.7,31.7,29.3,28,30,24,10.3,10.3,8.5,898.6,899.0,898.6,3.1,114,6.9,1786.,0.0
A045,31/01/2019,06,18.2,18.3,17.2,76,79,73,13.8,14.0,13.3,899.9,900.1,899.9,1.7,93,2.5,-3.60,0.0
A045,31/01/2019,01,20.7,21.3,20.2,65,70,63,13.9,14.5,13.8,901.3,901.3,900.7,2.3,134,4.3,-3.60,0.0
A045,31/01/2019,18,31.7,32.5,30.5,23,28,21,8.1,10.3,6.5,899.6,900.3,899.6,4.3,122,8.6,3320.,0.0
A045,31/01/2019,11,25.1,25.1,19.0,48,75,48,13.4,14.8,13.4,901.7,901.7,901.2,2.5,70,4.7,1187.,0.0
A045,31/01/2019,10,19.0,19.0,15.0,75,88,75,14.5,14.5,12.8,901.2,901.2,900.5,0.8,27,1.8,193.5,0.0
A045,31/01/2019,09,15.0,16.8,14.9,87,87,80,12.9,13.4,12.6,900.5,900.5,899.9,1.1,54,2.7,-3.08,0.0
A045,31/01/2019,14,29.1,29.7,27.8,36,41,35,12.7,14.4,12.3,902.2,902.2,902.1,2.4,61,6.9,3527.,0.0
A045,31/01/2019,17,31.8,31.9,29.1,25,33,24,9.1,11.7,7.7,900.2,901.0,900.2,3.0,85,8.8,3501.,0.0
A045,31/01/2019,13,28.3,28.5,26.5,40,44,39,13.5,14.1,12.5,902.2,902.3,902.1,3.1,74,8.4,2918.,0.0
A045,31/01/2019,12,26.5,26.8,25.1,43,51,42,12.7,14.7,12.4,902.2,902.2,901.7,4.0,51,8.4,2115.,0.0
A045,31/01/2019,16,30.8,31.3,29.8,30,34,28,11.2,13.0,10.5,901.0,901.7,900.9,3.1,74,9.5,3922.,0.0
A045,31/01/2019,15,30.4,30.4,28.7,34,36,31,12.5,13.1,11.0,901.7,902.2,901.7,2.0,75,7.2,3802.,0.0
A045,31/01/2019,05,17.2,18.4,17.0,78,79,71,13.4,14.1,13.0,900.1,900.8,900.1,1.6,94,2.7,-3.60,0.0
A045,31/01/2019,03,17.9,18.6,17.7,74,75,71,13.2,13.5,13.0,901.1,901.6,901.1,1.9,91,2.8,-3.60,0.0
A045,31/01/2019,02,18.6,20.8,18.6,71,71,64,13.3,13.9,13.0,901.6,901.6,901.2,1.5,60,3.9,-3.60,0.0
A045,31/01/2019,08,16.4,17.1,16.4,83,83,78,13.5,13.6,13.2,900.0,900.0,899.9,1.9,109,2.9,-3.60,0.0
A045,31/01/2019,04,18.3,18.4,17.9,72,74,70,13.0,13.3,12.7,900.8,901.1,900.8,1.8,110,2.9,-3.60,0.0
A045,31/01/2019,22,24.3,28.8,24.3,42,42,28,10.5,11.1,7.9,898.8,898.8,898.4,2.4,130,7.5,39.33,0.0
A045,31/01/2019,00,20.7,22.8,20.7,67,68,61,14.5,15.0,14.4,900.7,900.7,900.3,1.6,105,3.7,-3.60,0.0
A045,31/01/2019,23,20.6,24.3,20.6,59,59,42,12.2,12.6,10.2,899.3,899.3,898.8,1.2,88,3.7,-3.60,0.0
A045,31/01/2019,07,17.1,18.3,17.1,79,79,72,13.3,13.8,13.1,900.0,900.1,899.9,1.7,94,2.8,-3.60,0.0
A045,31/01/2019,21,28.8,30.8,28.7,28,30,27,8.3,10.2,8.1,898.4,898.6,898.4,3.4,112,7.5,778.9,0.0
A045,01/02/2019,07,16.1,16.4,15.4,82,85,82,13.2,13.8,12.5,899.3,899.4,899.3,0.4,98,2.5,-3.60,0.0
A045,01/02/2019,09,17.2,17.2,15.5,73,85,73,12.4,12.9,12.3,899.8,899.8,899.4,1.8,85,3.0,-2.90,0.0
A045,01/02/2019,22,24.4,29.6,24.4,57,57,35,15.2,16.0,12.7,898.6,898.6,898.4,1.1,82,2.3,35.07,0.0
A045,01/02/2019,21,29.6,32.2,29.6,35,35,25,12.4,12.5,9.4,898.4,898.5,898.3,1.3,51,3.9,916.4,0.0
A045,01/02/2019,08,15.5,16.1,15.5,84,84,81,12.8,13.1,12.5,899.4,899.4,899.3,1.0,82,1.6,-3.60,0.0
A045,01/02/2019,11,26.1,26.1,21.9,44,57,43,12.7,13.3,12.2,901.4,901.4,900.7,3.4,94,7.3,1177.,0.0
A045,01/02/2019,17,32.1,32.1,30.3,31,33,26,12.7,13.1,9.8,899.8,900.6,899.8,3.1,53,8.5,3855.,0.0
A045,01/02/2019,01,20.5,21.2,20.4,62,62,52,13.1,13.1,11.0,900.4,900.4,899.7,2.3,120,3.9,-3.60,0.0
A045,01/02/2019,23,21.8,24.4,21.8,66,66,57,15.2,16.2,14.7,899.5,899.5,898.5,0.9,70,3.3,-3.60,0.0
