Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;EvaporacaoPiche;TempCompMedia;UmidadeRelativaMedia;VelocidadeVentoMedia
83377;01/01/2019;0000;;26.2;;2.6;1.4;21.34;81.5;2;
83377;01/01/2019;1200;35;;18.5;;;;;;
83377;02/01/2019;0000;;29.1;;11.4;2.9;23.5;61.75;2;
83377;02/01/2019;1200;0;;17.7;;;;;;
83377;03/01/2019;0000;;29.2;;11.2;6.5;24.28;52.25;0.34296;
83377;03/01/2019;1200;0;;19;;;;;;
83377;04/01/2019;0000;;29.3;;5.3;5.3;23.68;62.5;1.34296;
83377;04/01/2019;1200;0;;19.9;;;;;;
83377;05/01/2019;0000;;26.2;;1.9;5.9;21.84;81.75;0.34296;
83377;05/01/2019;1200;0;;18.7;;;;;;
83377;06/01/2019;0000;;28.2;;8.9;2.3;22.04;67.25;0.666667;
83377;06/01/2019;1200;1.3;;18.5;;;;;;
83377;07/01/2019;0000;;28.8;;10.8;5.5;23.14;58.75;0.34296;
83377;07/01/2019;1200;9.2;;17.7;;;;;;
83377;08/01/2019;0000;;28.1;;8.3;5.2;23.6;59.5;3.009627;
83377;08/01/2019;1200;0;;19.2;;;;;;
83377;09/01/2019;0000;;27.1;;11.1;6.7;22.48;55.5;4;
83377;09/01/2019;1200;0;;17.6;;;;;;
83377;10/01/2019;0000;;27.5;;6.1;7.6;21.14;82.5;2;
83377;10/01/2019;1200;0;;18.5;;;;;;
83377;11/01/2019;0000;;24.6;;1.2;2.3;20.94;78.75;0.34296;
83377;11/01/2019;1200;6.9;;17.5;;;;;;
83377;12/01/2019;0000;;27.4;;4.4;2;22.12;72.75;0.34296;
83377;12/01/2019;1200;0;;18.9;;;;;;
83377;13/01/2019;0000;;28.3;;10.5;3.2;23.1;62;1.34296;
83377;13/01/2019;1200;0.6;;17.9;;;;;;
83377;14/01/2019;0000;;29;;11.2;5.3;23.68;89;3;
83377;14/01/2019;1200;0;;17.9;;;;;;
83377;15/01/2019;0000;;29.4;;10.8;;23.82;57.75;0.68592;
83377;15/01/2019;1200;0;;17;;;;;;
83377;16/01/2019;0000;;30.5;;10.9;5.7;24.44;59;1.676293;
83377;16/01/2019;1200;0;;17.8;;;;;;
83377;17/01/2019;0000;;28.8;;5.8;6.8;23.06;64;3.666667;
83377;17/01/2019;1200;0;;20.1;;;;;;
